Destination,Vacation
"Dallas/Fort Worth, TX",1
"Chicago, IL",1
"Nashville, TN",1
"Raleigh/Durham, NC",0
"New York, NY",1
"St. Louis, MO",0
"Miami, FL",1
"Los Angeles, CA",1
"Madison, WI",0
"Milwaukee, WI",0
"Tyler, TX",0
"Houston, TX",1
"Killeen, TX",0
"Wichita Falls, TX",0
"Corpus Christi, TX",0
"Laredo, TX",0
"Beaumont/Port Arthur, TX",0
"San Angelo, TX",0
"Midland/Odessa, TX",0
"Amarillo, TX",0
"Waco, TX",0
"Longview, TX",0
"Abilene, TX",0
"College Station/Bryan, TX",0
"Lubbock, TX",0
"Brownsville, TX",0
"Knoxville, TN",0
"Chattanooga, TN",0
"Rapid City, SD",0
"Sioux Falls, SD",0
"Charleston, SC",1
"Greer, SC",0
"Columbia, SC",0
"Lawton/Fort Sill, OK",0
"Tulsa, OK",0
"Fargo, ND",0
"Greensboro/High Point, NC",0
"Roswell, NM",0
"Santa Fe, NM",0
"Grand Island, NE",0
"Springfield, MO",0
"Joplin, MO",0
"Columbia, MO",0
"Jackson/Vicksburg, MS",0
"Gulfport/Biloxi, MS",0
"Grand Rapids, MI",0
"Lafayette, LA",0
"Monroe, LA",0
"Alexandria, LA",0
"Lake Charles, LA",0
"Shreveport, LA",0
"Baton Rouge, LA",0
"Louisville, KY",0
"Lexington, KY",1
"Cincinnati, OH",0
"Garden City, KS",0
"Manhattan/Ft. Riley, KS",0
"Cedar Rapids/Iowa City, IA",0
"Des Moines, IA",0
"Fort Wayne, IN",0
"Evansville, IN",0
"Bloomington/Normal, IL",0
"Springfield, IL",0
"Peoria, IL",0
"Champaign/Urbana, IL",0
"Moline, IL",0
"Savannah, GA",0
"Pensacola, FL",0
"Tallahassee, FL",0
"Valparaiso, FL",0
"Aspen, CO",1
"Durango, CO",0
"Montrose/Delta, CO",0
"Grand Junction, CO",0
"Fayetteville, AR",0
"Fort Smith, AR",0
"Little Rock, AR",0
"Texarkana, AR",0
"Birmingham, AL",0
"Montgomery, AL",0
"Mobile, AL",0
"Washington, DC",1
"Norfolk, VA",0
"Pittsburgh, PA",0
"Columbus, OH",0
"Cleveland, OH",0
"Charlotte, NC",0
"Minneapolis, MN",0
"Detroit, MI",0
"Baltimore, MD",0
"Indianapolis, IN",0
"Atlanta, GA",0
"Tampa, FL",1
"Green Bay, WI",0
"Mosinee, WI",0
"La Crosse, WI",0
"Richmond, VA",0
"Salt Lake City, UT",1
"San Antonio, TX",1
"El Paso, TX",0
"Memphis, TN",1
"Harrisburg, PA",0
"Philadelphia, PA",0
"Oklahoma City, OK",0
"Toledo, OH",0
"Dayton, OH",0
"Buffalo, NY",0
"Rochester, NY",0
"Syracuse, NY",0
"Watertown, NY",0
"Newark, NJ",0
"Omaha, NE",0
"Kansas City, MO",0
"Rochester, MN",0
"Kalamazoo, MI",0
"Traverse City, MI",0
"Flint, MI",0
"Marquette, MI",0
"Wichita, KS",0
"Sioux City, IA",0
"Dubuque, IA",0
"Waterloo, IA",0
"Jacksonville, FL",0
"Hartford, CT",0
"Denver, CO",1
"Huntsville, AL",0
"Gainesville, FL",0
"Key West, FL",1
"Albuquerque, NM",0
"San Diego, CA",1
"San Jose, CA",0
"Tucson, AZ",1
"Charleston/Dunbar, WV",0
"Roanoke, VA",0
"Burlington, VT",0
"Providence, RI",0
"Boston, MA",1
"Portland, ME",0
"New Orleans, LA",1
"Orlando, FL",1
"Mission/McAllen/Edinburg, TX",0
"Harlingen/San Benito, TX",0
"Dallas, TX",1
"Austin, TX",0
"Hobbs, NM",0
"Colorado Springs, CO",0
"Phoenix, AZ",1
"Albany, NY",0
"Manchester, NH",0
"Fort Myers, FL",1
"West Palm Beach/Palm Beach, FL",1
"Charlottesville, VA",0
"Myrtle Beach, SC",1
"Bangor, ME",0
"Allentown/Bethlehem/Easton, PA",0
"Scranton/Wilkes-Barre, PA",0
"Akron, OH",0
"Elmira/Corning, NY",0
"Appleton, WI",0
"State College, PA",0
"White Plains, NY",0
"Lincoln, NE",0
"Lansing, MI",0
"Topeka, KS",0
"South Bend, IN",0
"Newport News/Williamsburg, VA",0
"Bristol/Johnson City/Kingsport, TN",0
"Jacksonville/Camp Lejeune, NC",0
"New Bern/Morehead/Beaufort, NC",0
"Fayetteville, NC",0
"Asheville, NC",0
"Wilmington, NC",0
"Columbus, MS",0
"Albany, GA",0
"Valdosta, GA",0
"Brunswick, GA",0
"Columbus, GA",0
"Augusta, GA",0
"Dothan, AL",0
"Fort Lauderdale, FL",1
"Dickinson, ND",0
"Williston, ND",0
"Bismarck/Mandan, ND",0
"Minot, ND",0
"Billings, MT",0
"Gunnison, CO",0
"Santa Ana, CA",0
"Las Vegas, NV",1
"San Francisco, CA",1
"Seattle, WA",0
"Spokane, WA",0
"Honolulu, HI",1
"Kahului, HI",1
"Kona, HI",1
"Lihue, HI",1
"Oakland, CA",0
"Palm Springs, CA",1
"Sacramento, CA",0
"Ontario, CA",0
"Burbank, CA",0
"Anchorage, AK",0
"Juneau, AK",0
"Fairbanks, AK",0
"Ketchikan, AK",0
"Portland, OR",1
"Bellingham, WA",0
"Kotzebue, AK",0
"Bethel, AK",0
"Petersburg, AK",0
"Sitka, AK",0
"Nome, AK",0
"Yakutat, AK",0
"Barrow, AK",0
"Wrangell, AK",0
"Cordova, AK",0
"Deadhorse, AK",0
"Kodiak, AK",0
"Adak Island, AK",0
"Trenton, NJ",0
"Wilmington, DE",0
"Eugene, OR",0
"Bozeman, MT",0
"Branson, MO",0
"Santa Barbara, CA",0
"Fresno, CA",0
"Pago Pago, TT",0
"Hilo, HI",0
"Long Beach, CA",1
"San Juan, PR",0
"Ponce, PR",1
"Aguadilla, PR",1
"Sarasota/Bradenton, FL",0
"Newburgh/Poughkeepsie, NY",0
"Worcester, MA",0
"Gillette, WY",0
"Rock Springs, WY",0
"Iron Mountain/Kingsfd, MI",0
"Hayden, CO",0
"Cody, WY",0
"Jackson, WY",0
"Casper, WY",0
"Pasco/Kennewick/Richland, WA",0
"Cedar City, UT",0
"St. George, UT",0
"Vernal, UT",0
"Moab, UT",0
"Bend/Redmond, OR",0
"Medford, OR",0
"Elko, NV",0
"Reno, NV",1
"Helena, MT",0
"Butte, MT",0
"Kalispell, MT",0
"Missoula, MT",0
"Great Falls, MT",0
"Twin Falls, ID",0
"Idaho Falls, ID",0
"Boise, ID",0
"Sun Valley/Hailey/Ketchum, ID",0
"Pocatello, ID",0
"Lewiston, ID",0
"Bakersfield, CA",0
"Klamath Falls, OR",0
"Rhinelander, WI",0
"Aberdeen, SD",0
"Hibbing, MN",0
"Bemidji, MN",0
"Brainerd, MN",0
"International Falls, MN",0
"Duluth, MN",0
"Alpena, MI",0
"Saginaw/Bay City/Midland, MI",0
"Eau Claire, WI",0
"Hancock/Houghton, MI",0
"Muskegon, MI",0
"Paducah, KY",0
"Laramie, WY",0
"Monterey, CA",0
"North Bend/Coos Bay, OR",0
"Arcata/Eureka, CA",0
"San Luis Obispo, CA",0
"Santa Maria, CA",0
"Carlsbad, CA",0
"Chico, CA",0
"Redding, CA",0
"Modesto, CA",0
"Mammoth Lakes, CA",0
"Crescent City, CA",0
"Yuma, AZ",0
"Flagstaff, AZ",0
"Eagle, CO",0
"Guam, TT",1
"Daytona Beach, FL",1
"Panama City, FL",1
"Melbourne, FL",0
"Islip, NY",0
